"","MP","pDC","ILC","T cell","B cell","Plasma cell","Mast cell","Endothelia","Mesenchyme","Hepatocyte","Cholangiocyte","Cycling"
"0",-0.156,-0.0424,0.0937,0.6239,-0.0275,-0.0338,0.0025,-0.0764,-0.0284,-0.163,-0.0726,-0.0173
"1",-0.1744,0.2866,1.5353,-0.4315,-0.0382,-0.0464,0,-0.0777,-0.0382,-0.1618,-0.0836,-0.0063
"2",0.8216,-0.0691,-0.3777,-0.6009,-0.0593,-0.0584,-0.0023,-0.0309,-0.0434,-0.1624,-0.0918,-0.0643
"3",-0.1436,0.1017,0.7807,0.6304,-0.0407,-0.0399,0.0014,-0.0843,-0.0319,-0.171,-0.0804,-0.007
"4",-0.0835,-0.1327,-0.5638,-0.724,-0.0783,-0.0922,-0.0138,0.7479,-0.0662,-0.1024,-0.1176,0.099
"5",1.0697,-0.0747,-0.4401,-0.6637,-0.0985,-0.0729,-0.0054,-0.1195,-0.0462,-0.1753,-0.108,0.0168
"6",-0.2604,-0.1005,-0.4698,-0.6549,-0.124,-0.1012,-0.0287,-0.2033,-0.0387,0.6371,1.3603,0.037
"7",-0.0375,-0.1244,-0.5591,-0.711,-0.0807,-0.0742,-0.0233,0.4255,-0.0437,-0.0815,-0.1087,0.0687
"8",1.2269,-0.085,-0.4566,-0.6597,-0.1017,-0.0651,-0.0132,0.0066,-0.0512,-0.096,-0.1092,0.0383
"9",0.3958,-0.0339,-0.2714,-0.4401,1.5577,1.2296,-0.0105,-0.0872,-0.043,-0.1686,0.1108,0.0093
"10",-0.2425,-0.1048,-0.4805,-0.6238,-0.1008,-4e-04,-0.027,-0.1399,0.9174,-0.0563,-0.0691,-0.0477
"11",0.1208,-0.131,-0.5354,-0.6749,-0.0719,-0.0605,-0.014,0.6764,-0.0514,0.018,-0.1368,-0.0318
"12",-0.02,-0.0432,-0.1745,-0.3443,0.3432,1.4213,-2e-04,0.0466,-0.0029,-0.034,-0.0435,-0.019
"13",-0.1773,0.0768,0.7473,-0.2319,-0.0711,-0.051,8e-04,-0.0672,-0.0629,-0.2037,-0.112,1.1429
"14",-0.1285,-0.1213,-0.5176,-0.6614,-0.1005,-0.0621,-0.0304,-0.1334,1.5651,-0.1144,0.1047,-0.0474
"15",0.577,-0.0356,-0.368,-0.5752,-0.0915,-0.0327,0.006,-0.1376,-0.0479,-0.1746,-0.0954,0.0083
"16",0.4546,1.8959,0.2569,-0.6178,-0.057,0.0011,-0.0081,-0.1343,-0.0668,-0.2169,-0.1079,0.2421
"17",-0.086,-0.0884,-0.4067,-0.6068,-0.124,-0.0938,-0.0497,-0.1821,-0.0424,2.1192,0.4244,-0.0628
"18",-0.0993,-0.0307,0.0286,-0.2395,-0.0419,-0.0346,1.8918,-0.0206,-0.0362,-0.1294,-0.0414,0.1157
"19",0.7739,-0.0969,-0.4631,-0.7331,-0.1305,-0.0698,-0.0162,-0.1726,-0.0608,-0.1992,-0.1392,1.0367
