"gene","cell_type","condition","pct_expressing","avg_expr","n_cells"
"CCL20","B cell","cirrhotic",1.07349298100743,0.0170120661183309,1211
"CCL20","B cell","healthy",1.3531799729364,0.0200871752037148,739
"CCL20","Cholangiocyte","cirrhotic",7.9048023799405,0.0964676129549964,2353
"CCL20","Cholangiocyte","healthy",3.25131810193322,0.0541261882279478,1138
"CCL20","Cycling","cirrhotic",2.51256281407035,0.0405859699415977,398
"CCL20","Cycling","healthy",2.20883534136546,0.0244899809661869,498
"CCL20","Endothelia","cirrhotic",0.502108857200241,0.00508548544479982,4979
"CCL20","Endothelia","healthy",0.319284802043423,0.00410533309992992,3132
"CCL20","Hepatocyte","cirrhotic",8.3969465648855,0.0837611850599328,262
"CCL20","Hepatocyte","healthy",6.12244897959184,0.0514271624249126,49
"CCL20","ILC","cirrhotic",1.19348175350011,0.0227802066343447,4357
"CCL20","ILC","healthy",1.076110350225,0.0191840835731943,10222
"CCL20","MP","cirrhotic",1.53914789203658,0.0207038007424584,4483
"CCL20","MP","healthy",2.44548286604361,0.0417703744927628,6420
"CCL20","Mast cell","cirrhotic",7.69230769230769,0.103926737953555,91
"CCL20","Mast cell","healthy",2.80373831775701,0.0388065443817633,107
"CCL20","Mesenchyme","cirrhotic",0.262123197903014,0.00196541355940864,763
"CCL20","Mesenchyme","healthy",0.685785536159601,0.00993788178032614,1604
"CCL20","Plasma cell","cirrhotic",1.04602510460251,0.00289438087022934,478
"CCL20","Plasma cell","healthy",3.20197044334975,0.0203624886175084,406
"CCL20","T cell","cirrhotic",7.04628598695721,0.120235326637253,6287
"CCL20","T cell","healthy",7.79012810851545,0.176113262806072,10616
"CCL20","pDC","cirrhotic",0,0,189
"CCL20","pDC","healthy",0,0,143
"CCL21","B cell","cirrhotic",2.97274979355904,0.0430261024177907,1211
"CCL21","B cell","healthy",0.13531799729364,0.00175033052226525,739
"CCL21","Cholangiocyte","cirrhotic",15.4271143221419,0.137598224160222,2353
"CCL21","Cholangiocyte","healthy",2.3725834797891,0.0273028619633305,1138
"CCL21","Cycling","cirrhotic",17.0854271356784,0.146841195226495,398
"CCL21","Cycling","healthy",1.00401606425703,0.00803958538647386,498
"CCL21","Endothelia","cirrhotic",21.1689094195622,0.406011789602752,4979
"CCL21","Endothelia","healthy",13.0906768837803,0.200284696515132,3132
"CCL21","Hepatocyte","cirrhotic",32.4427480916031,0.231011591006952,262
"CCL21","Hepatocyte","healthy",26.530612244898,0.117855153829979,49
"CCL21","ILC","cirrhotic",6.03626348404866,0.0905880769221367,4357
"CCL21","ILC","healthy",0.185873605947955,0.00289146784679551,10222
"CCL21","MP","cirrhotic",10.3055989292884,0.100158125218733,4483
"CCL21","MP","healthy",0.872274143302181,0.00792243484551534,6420
"CCL21","Mast cell","cirrhotic",10.989010989011,0.154613143380158,91
"CCL21","Mast cell","healthy",1.86915887850467,0.0566549506480983,107
"CCL21","Mesenchyme","cirrhotic",26.605504587156,0.412913238310183,763
"CCL21","Mesenchyme","healthy",7.48129675810474,0.144422057617996,1604
"CCL21","Plasma cell","cirrhotic",15.0627615062762,0.0856523669722452,478
"CCL21","Plasma cell","healthy",5.66502463054187,0.0303678344067655,406
"CCL21","T cell","cirrhotic",3.35613170033402,0.0467648017490769,6287
"CCL21","T cell","healthy",0.244913338357197,0.00381493990347386,10616
"CCL21","pDC","cirrhotic",3.7037037037037,0.0389219800820584,189
"CCL21","pDC","healthy",0.699300699300699,0.00646011127103993,143
"CXCL8","B cell","cirrhotic",2.39471511147812,0.031904793943972,1211
"CXCL8","B cell","healthy",1.48849797023004,0.0254459551064119,739
"CXCL8","Cholangiocyte","cirrhotic",22.5244368890778,0.375625112347753,2353
"CXCL8","Cholangiocyte","healthy",22.5834797891037,0.494051031584694,1138
"CXCL8","Cycling","cirrhotic",9.2964824120603,0.102074647249397,398
"CXCL8","Cycling","healthy",7.2289156626506,0.0992178911312156,498
"CXCL8","Endothelia","cirrhotic",3.61518377184174,0.038454002640264,4979
"CXCL8","Endothelia","healthy",4.59770114942529,0.0654547915759551,3132
"CXCL8","Hepatocyte","cirrhotic",14.5038167938931,0.130662940365566,262
"CXCL8","Hepatocyte","healthy",20.4081632653061,0.162709629208255,49
"CXCL8","ILC","cirrhotic",1.99678677989442,0.0275542023112787,4357
"CXCL8","ILC","healthy",1.54568577577773,0.028009455245993,10222
"CXCL8","MP","cirrhotic",20.3658264554985,0.384309476948471,4483
"CXCL8","MP","healthy",22.6168224299065,0.481473028311229,6420
"CXCL8","Mast cell","cirrhotic",4.3956043956044,0.0528468401834424,91
"CXCL8","Mast cell","healthy",5.60747663551402,0.170505552932428,107
"CXCL8","Mesenchyme","cirrhotic",5.89777195281782,0.0526749375926433,763
"CXCL8","Mesenchyme","healthy",5.54862842892768,0.0808424793404608,1604
"CXCL8","Plasma cell","cirrhotic",8.99581589958159,0.0335526650208005,478
"CXCL8","Plasma cell","healthy",7.14285714285714,0.039513632588661,406
"CXCL8","T cell","cirrhotic",1.62239541911882,0.0205521604748757,6287
"CXCL8","T cell","healthy",1.88394875659382,0.0325363145750325,10616
"CXCL8","pDC","cirrhotic",1.58730158730159,0.0170880440647133,189
"CXCL8","pDC","healthy",5.59440559440559,0.0712552397400368,143
"EPCAM","B cell","cirrhotic",0.578034682080925,0.00779819987364196,1211
"EPCAM","B cell","healthy",0.6765899864682,0.0090596995505401,739
"EPCAM","Cholangiocyte","cirrhotic",87.5053123671908,1.59826376409579,2353
"EPCAM","Cholangiocyte","healthy",52.4604569420035,0.960945163848865,1138
"EPCAM","Cycling","cirrhotic",5.0251256281407,0.0436869501911022,398
"EPCAM","Cycling","healthy",0.803212851405622,0.00754094444809758,498
"EPCAM","Endothelia","cirrhotic",3.17332797750552,0.0309913265653987,4979
"EPCAM","Endothelia","healthy",0.638569604086845,0.00683381395373954,3132
"EPCAM","Hepatocyte","cirrhotic",54.9618320610687,0.721581741501013,262
"EPCAM","Hepatocyte","healthy",10.2040816326531,0.0860954022337734,49
