"gene","cell_type","condition","pct_expressing","avg_expr","n_cells"
"CD14","B cell","cirrhotic",7.76218001651528,0.0952963012085404,1211
"CD14","B cell","healthy",5.27740189445196,0.0656350322148883,739
"CD14","Cholangiocyte","cirrhotic",16.0645983850404,0.148180096957603,2353
"CD14","Cholangiocyte","healthy",8.08435852372583,0.0930901119608984,1138
"CD14","Cycling","cirrhotic",23.3668341708543,0.320318540006523,398
"CD14","Cycling","healthy",15.6626506024096,0.158336416568884,498
"CD14","Endothelia","cirrhotic",21.8316931110665,0.260790599474418,4979
"CD14","Endothelia","healthy",49.904214559387,1.05177586698215,3132
"CD14","Hepatocyte","cirrhotic",67.5572519083969,0.848450629953172,262
"CD14","Hepatocyte","healthy",89.7959183673469,1.32151466034774,49
"CD14","ILC","cirrhotic",4.10833142070232,0.0570895319437363,4357
"CD14","ILC","healthy",3.60986108393661,0.0531868188124456,10222
"CD14","MP","cirrhotic",79.2772696854785,1.69375797102544,4483
"CD14","MP","healthy",63.8006230529595,1.30357688443764,6420
"CD14","Mast cell","cirrhotic",9.89010989010989,0.159841751212583,91
"CD14","Mast cell","healthy",18.6915887850467,0.249731432856698,107
"CD14","Mesenchyme","cirrhotic",16.9069462647444,0.164260058890172,763
"CD14","Mesenchyme","healthy",8.16708229426434,0.106508490120757,1604
"CD14","Plasma cell","cirrhotic",33.4728033472803,0.147134074686128,478
"CD14","Plasma cell","healthy",30.0492610837438,0.149543822025725,406
"CD14","T cell","cirrhotic",5.75791315412757,0.0748081170609809,6287
"CD14","T cell","healthy",3.48530519969857,0.0505629849041424,10616
"CD14","pDC","cirrhotic",11.6402116402116,0.11794358079222,189
"CD14","pDC","healthy",12.5874125874126,0.134012291757831,143
"LBP","B cell","cirrhotic",0,0,1211
"LBP","B cell","healthy",0,0,739
"LBP","Cholangiocyte","cirrhotic",1.06247343816405,0.00856558845273516,2353
"LBP","Cholangiocyte","healthy",0.175746924428822,0.000597158072074754,1138
"LBP","Cycling","cirrhotic",0,0,398
"LBP","Cycling","healthy",0,0,498
"LBP","Endothelia","cirrhotic",0.281180960032135,0.00260304657230474,4979
"LBP","Endothelia","healthy",0.574712643678161,0.00653496277835596,3132
"LBP","Hepatocyte","cirrhotic",41.2213740458015,0.452018548916691,262
"LBP","Hepatocyte","healthy",71.4285714285714,0.807495404653315,49
"LBP","ILC","cirrhotic",0.298370438375029,0.00405002422665973,4357
"LBP","ILC","healthy",0.00978282136568186,0.000184781511842191,10222
"LBP","MP","cirrhotic",0.401516841400848,0.00360557754144123,4483
"LBP","MP","healthy",0.0778816199376947,0.000591352874818432,6420
"LBP","Mast cell","cirrhotic",0,0,91
"LBP","Mast cell","healthy",0,0,107
"LBP","Mesenchyme","cirrhotic",0.262123197903014,0.00257360151700417,763
"LBP","Mesenchyme","healthy",0.124688279301746,0.00119835620822299,1604
"LBP","Plasma cell","cirrhotic",0.418410041841004,0.00111665716419537,478
"LBP","Plasma cell","healthy",0.738916256157635,0.00300406062859155,406
"LBP","T cell","cirrhotic",0.127246699538731,0.00172194037549619,6287
"LBP","T cell","healthy",0.0565184626978146,0.000899546065749294,10616
"LBP","pDC","cirrhotic",0,0,189
"LBP","pDC","healthy",0,0,143
"LY96","B cell","cirrhotic",11.6432700247729,0.150493669684067,1211
"LY96","B cell","healthy",9.74289580514208,0.127137129197109,739
"LY96","Cholangiocyte","cirrhotic",2.8899277518062,0.0232631931199425,2353
"LY96","Cholangiocyte","healthy",1.66959578207381,0.0173076842919569,1138
"LY96","Cycling","cirrhotic",20.1005025125628,0.173766040488245,398
"LY96","Cycling","healthy",13.0522088353414,0.132814317842372,498
"LY96","Endothelia","cirrhotic",36.7744527013457,0.451570085764459,4979
"LY96","Endothelia","healthy",43.5504469987229,0.594638547691927,3132
"LY96","Hepatocyte","cirrhotic",8.01526717557252,0.0361407837912068,262
"LY96","Hepatocyte","healthy",16.3265306122449,0.0513245984177003,49
"LY96","ILC","cirrhotic",2.5246729400964,0.035253946521714,4357
"LY96","ILC","healthy",1.49677166894932,0.0233414762224733,10222
"LY96","MP","cirrhotic",68.7709123354896,0.952600382278392,4483
"LY96","MP","healthy",56.8224299065421,0.883271607894713,6420
"LY96","Mast cell","cirrhotic",8.79120879120879,0.125069382864237,91
"LY96","Mast cell","healthy",4.67289719626168,0.060722900356915,107
"LY96","Mesenchyme","cirrhotic",19.7903014416776,0.188136804791778,763
"LY96","Mesenchyme","healthy",4.05236907730673,0.0465029904697084,1604
