mature_mirna_id,n_genes_targeted,targets,databases,total_evidence
hsa-miR-1-3p,3,LUM;THBS2;THY1,mirtarbase;tarbase,5
hsa-miR-29b-3p,3,LUM;THBS2;THY1,mirtarbase;tarbase,4
hsa-let-7a-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7b-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7c-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7e-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7f-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7g-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-let-7i-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-106b-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-139-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-152-3p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-15a-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-15b-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-17-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-196a-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-20a-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-23a-3p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-7-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-98-5p,3,LUM;THBS2;THY1,tarbase,3
hsa-miR-129-2-3p,2,THBS2;THY1,mirtarbase;tarbase,3
hsa-let-7d-5p,2,LUM;THBS2,tarbase,2
hsa-miR-101-3p,2,LUM;THBS2,tarbase,2
hsa-miR-103a-3p,2,LUM;THY1,tarbase,2
hsa-miR-106a-5p,2,LUM;THY1,tarbase,2
hsa-miR-16-5p,2,LUM;THY1,tarbase,2
hsa-miR-183-5p,2,LUM;THY1,tarbase,2
hsa-miR-19a-3p,2,LUM;THBS2,tarbase,2
hsa-miR-19b-3p,2,LUM;THBS2,tarbase,2
hsa-miR-20b-5p,2,LUM;THY1,tarbase,2
hsa-miR-21-5p,2,LUM;THBS2,tarbase,2
hsa-miR-210-3p,2,THBS2;THY1,tarbase,2
hsa-miR-22-5p,2,THBS2;THY1,tarbase,2
hsa-miR-23b-3p,2,LUM;THY1,tarbase,2
hsa-miR-24-3p,2,LUM;THY1,tarbase,2
hsa-miR-26a-5p,2,LUM;THBS2,tarbase,2
hsa-miR-27a-3p,2,THBS2;THY1,tarbase,2
hsa-miR-29a-3p,2,LUM;THY1,tarbase,2
hsa-miR-29c-3p,2,LUM;THY1,tarbase,2
hsa-miR-320b,2,THBS2;THY1,tarbase,2
hsa-miR-34a-5p,2,THBS2;THY1,tarbase,2
hsa-miR-376a-3p,2,THBS2;THY1,tarbase,2
hsa-miR-423-5p,2,THBS2;THY1,tarbase,2
hsa-miR-450a-5p,2,LUM;THY1,tarbase,2
hsa-miR-9-5p,2,LUM;THBS2,mirtarbase;tarbase,2
hsa-miR-93-5p,2,THBS2;THY1,tarbase,2
