mature_mirna_id,target_symbol,databases,n_evidence,known_fibrosis_family
hsa-let-7a-5p,LUM,tarbase,1,NA
hsa-let-7a-5p,THBS2,tarbase,1,NA
hsa-let-7a-5p,THY1,tarbase,1,NA
hsa-let-7b-3p,THBS2,tarbase,1,NA
hsa-let-7b-5p,LUM,tarbase,1,NA
hsa-let-7b-5p,THBS2,tarbase,1,NA
hsa-let-7b-5p,THY1,tarbase,1,NA
hsa-let-7c-5p,LUM,tarbase,1,NA
hsa-let-7c-5p,THBS2,tarbase,1,NA
hsa-let-7c-5p,THY1,tarbase,1,NA
hsa-let-7d-3p,THBS2,tarbase,1,NA
hsa-let-7d-5p,LUM,tarbase,1,NA
hsa-let-7d-5p,THBS2,tarbase,1,NA
hsa-let-7e-5p,LUM,tarbase,1,NA
hsa-let-7e-5p,THBS2,tarbase,1,NA
hsa-let-7e-5p,THY1,tarbase,1,NA
hsa-let-7f-2-3p,THBS2,tarbase,1,NA
hsa-let-7f-5p,LUM,tarbase,1,NA
hsa-let-7f-5p,THBS2,tarbase,1,NA
hsa-let-7f-5p,THY1,tarbase,1,NA
hsa-let-7g-5p,LUM,tarbase,1,NA
hsa-let-7g-5p,THBS2,tarbase,1,NA
hsa-let-7g-5p,THY1,tarbase,1,NA
hsa-let-7i-5p,LUM,tarbase,1,NA
hsa-let-7i-5p,THBS2,tarbase,1,NA
hsa-let-7i-5p,THY1,tarbase,1,NA
hsa-miR-1-3p,LUM,tarbase,1,NA
hsa-miR-1-3p,THBS2,tarbase,1,NA
hsa-miR-1-3p,THY1,mirtarbase;tarbase,3,NA
hsa-miR-101-3p,LUM,tarbase,1,NA
hsa-miR-101-3p,THBS2,tarbase,1,NA
hsa-miR-10395-3p,THBS2,tarbase,1,NA
hsa-miR-103a-3p,LUM,tarbase,1,NA
hsa-miR-103a-3p,THY1,tarbase,1,NA
hsa-miR-105-5p,THBS2,mirtarbase,2,NA
hsa-miR-106a-5p,LUM,tarbase,1,NA
hsa-miR-106a-5p,THY1,tarbase,1,NA
hsa-miR-106b-5p,LUM,tarbase,1,NA
hsa-miR-106b-5p,THBS2,tarbase,1,NA
hsa-miR-106b-5p,THY1,tarbase,1,NA
hsa-miR-107,THY1,tarbase,1,NA
hsa-miR-1228-3p,THBS2,mirtarbase,2,NA
hsa-miR-1228-5p,THY1,mirtarbase,2,NA
hsa-miR-1236-3p,THBS2,mirtarbase,2,NA
hsa-miR-124-3p,THBS2,tarbase,1,NA
hsa-miR-126-5p,LUM,tarbase,1,NA
hsa-miR-1266-5p,THBS2,mirtarbase,2,NA
hsa-miR-1271-5p,LUM,tarbase,1,NA
hsa-miR-128-3p,THBS2,tarbase,1,NA
hsa-miR-1287-5p,THY1,mirtarbase,1,NA
hsa-miR-129-1-3p,THBS2,mirtarbase,2,NA
hsa-miR-129-2-3p,THBS2,mirtarbase,2,NA
hsa-miR-129-2-3p,THY1,tarbase,1,NA
hsa-miR-1301-3p,LUM,tarbase,1,NA
hsa-miR-1307-3p,THBS2,mirtarbase,2,NA
hsa-miR-130a-3p,THY1,tarbase,1,NA
hsa-miR-130b-3p,THY1,tarbase,1,NA
hsa-miR-130b-5p,THBS2,mirtarbase,2,NA
hsa-miR-133a-3p,THBS2,mirtarbase,2,NA
hsa-miR-1343-5p,THBS2,mirtarbase,2,NA
hsa-miR-135b-5p,THBS2,mirtarbase,1,NA
hsa-miR-139-3p,THY1,mirtarbase,2,NA
hsa-miR-139-5p,LUM,tarbase,1,NA
hsa-miR-139-5p,THBS2,tarbase,1,NA
hsa-miR-139-5p,THY1,tarbase,1,NA
hsa-miR-143-3p,LUM,tarbase,1,NA
hsa-miR-146a-5p,THY1,tarbase,1,NA
hsa-miR-146b-5p,THBS2,tarbase,1,NA
hsa-miR-1470,THBS2,mirtarbase,2,NA
hsa-miR-148b-3p,LUM,tarbase,1,NA
hsa-miR-152-3p,LUM,tarbase,1,NA
hsa-miR-152-3p,THBS2,tarbase,1,NA
hsa-miR-152-3p,THY1,tarbase,1,NA
hsa-miR-15a-3p,THY1,tarbase,1,NA
hsa-miR-15a-5p,LUM,tarbase,1,NA
hsa-miR-15a-5p,THBS2,tarbase,1,NA
hsa-miR-15a-5p,THY1,tarbase,1,NA
hsa-miR-15b-3p,THBS2,tarbase,1,NA
hsa-miR-15b-5p,LUM,tarbase,1,NA
hsa-miR-15b-5p,THBS2,tarbase,1,NA
hsa-miR-15b-5p,THY1,tarbase,1,NA
hsa-miR-16-5p,LUM,tarbase,1,NA
hsa-miR-16-5p,THY1,tarbase,1,NA
hsa-miR-17-5p,LUM,tarbase,1,NA
hsa-miR-17-5p,THBS2,tarbase,1,NA
hsa-miR-17-5p,THY1,tarbase,1,NA
hsa-miR-181a-5p,LUM,tarbase,1,NA
hsa-miR-181b-3p,THBS2,tarbase,1,NA
hsa-miR-181b-5p,LUM,tarbase,1,NA
hsa-miR-181d-5p,LUM,tarbase,1,NA
hsa-miR-182-3p,THBS2,tarbase,1,NA
hsa-miR-182-5p,LUM,tarbase,1,NA
hsa-miR-183-3p,LUM,tarbase,1,NA
hsa-miR-183-5p,LUM,tarbase,1,NA
hsa-miR-183-5p,THY1,tarbase,1,NA
hsa-miR-184,THBS2,tarbase,1,NA
hsa-miR-185-5p,LUM,tarbase,1,NA
hsa-miR-18b-5p,THY1,tarbase,1,NA
hsa-miR-1908-5p,THBS2,mirtarbase,2,NA
hsa-miR-191-5p,THBS2,tarbase,1,NA
hsa-miR-193b-3p,LUM,tarbase,1,NA
hsa-miR-193b-5p,THBS2,mirtarbase,2,NA
hsa-miR-195-5p,THY1,tarbase,1,NA
hsa-miR-196a-5p,LUM,tarbase,1,NA
hsa-miR-196a-5p,THBS2,tarbase,1,NA
hsa-miR-196a-5p,THY1,tarbase,1,NA
hsa-miR-19a-3p,LUM,tarbase,1,NA
hsa-miR-19a-3p,THBS2,tarbase,1,NA
hsa-miR-19b-3p,LUM,tarbase,1,NA
hsa-miR-19b-3p,THBS2,tarbase,1,NA
hsa-miR-203a-3p,THBS2,mirtarbase,1,NA
hsa-miR-204-5p,THBS2,tarbase,1,NA
hsa-miR-20a-5p,LUM,tarbase,1,NA
hsa-miR-20a-5p,THBS2,tarbase,1,NA
hsa-miR-20a-5p,THY1,tarbase,1,NA
hsa-miR-20b-5p,LUM,tarbase,1,NA
hsa-miR-20b-5p,THY1,tarbase,1,NA
hsa-miR-21-5p,LUM,tarbase,1,miR-21
hsa-miR-21-5p,THBS2,tarbase,1,miR-21
hsa-miR-210-3p,THBS2,tarbase,1,NA
hsa-miR-210-3p,THY1,tarbase,1,NA
hsa-miR-214-3p,THBS2,tarbase,1,miR-214
hsa-miR-218-5p,THY1,tarbase,1,NA
hsa-miR-22-5p,THBS2,tarbase,1,NA
hsa-miR-22-5p,THY1,tarbase,1,NA
hsa-miR-221-3p,THBS2,tarbase,1,NA
