source,interaction_name,pathway_name,ligand,receptor
B cell,TNF_TNFRSF1A,TNF,TNF,TNFRSF1A
Cholangiocyte,ANGPTL1_ITGA1_ITGB1,ANGPTL,ANGPTL1,ITGA1_ITGB1
Cholangiocyte,COL4A2_ITGA1_ITGB1,COLLAGEN,COL4A2,ITGA1_ITGB1
Cholangiocyte,COL4A2_CD44,COLLAGEN,COL4A2,CD44
Cholangiocyte,FN1_CD44,FN1,FN1,CD44
Cholangiocyte,LAMC1_ITGA1_ITGB1,LAMININ,LAMC1,ITGA1_ITGB1
Cholangiocyte,LAMC1_CD44,LAMININ,LAMC1,CD44
Cholangiocyte,MDK_LRP1,MK,MDK,LRP1
Cholangiocyte,MDK_NCL,MK,MDK,NCL
Cholangiocyte,PDGFC_PDGFRA,PDGF,PDGFC,PDGFRA
Cholangiocyte,SPP1_CD44,SPP1,SPP1,CD44
Endothelia,COL4A1_ITGA1_ITGB1,COLLAGEN,COL4A1,ITGA1_ITGB1
Endothelia,COL4A2_ITGA1_ITGB1,COLLAGEN,COL4A2,ITGA1_ITGB1
Endothelia,COL4A1_CD44,COLLAGEN,COL4A1,CD44
Endothelia,COL4A2_CD44,COLLAGEN,COL4A2,CD44
Endothelia,EDN1_EDNRB,EDN,EDN1,EDNRB
Endothelia,FN1_CD44,FN1,FN1,CD44
Endothelia,LAMA4_ITGA1_ITGB1,LAMININ,LAMA4,ITGA1_ITGB1
Endothelia,LAMB2_ITGA1_ITGB1,LAMININ,LAMB2,ITGA1_ITGB1
Endothelia,LAMA4_CD44,LAMININ,LAMA4,CD44
Endothelia,LAMB2_CD44,LAMININ,LAMB2,CD44
Endothelia,MDK_LRP1,MK,MDK,LRP1
Hepatocyte,FN1_CD44,FN1,FN1,CD44
Hepatocyte,GDF15_TGFBR2,GDF,GDF15,TGFBR2
Hepatocyte,LAMB2_ITGA1_ITGB1,LAMININ,LAMB2,ITGA1_ITGB1
Hepatocyte,LAMC1_ITGA1_ITGB1,LAMININ,LAMC1,ITGA1_ITGB1
Hepatocyte,LAMB2_CD44,LAMININ,LAMB2,CD44
Hepatocyte,LAMC1_CD44,LAMININ,LAMC1,CD44
Hepatocyte,MDK_LRP1,MK,MDK,LRP1
Hepatocyte,MDK_NCL,MK,MDK,NCL
Hepatocyte,SPP1_CD44,SPP1,SPP1,CD44
Mast cell,CD99_CD99,CD99,CD99,CD99
Mesenchyme,COL1A1_ITGA1_ITGB1,COLLAGEN,COL1A1,ITGA1_ITGB1
Mesenchyme,COL1A2_ITGA1_ITGB1,COLLAGEN,COL1A2,ITGA1_ITGB1
Mesenchyme,COL4A1_ITGA1_ITGB1,COLLAGEN,COL4A1,ITGA1_ITGB1
Mesenchyme,COL4A2_ITGA1_ITGB1,COLLAGEN,COL4A2,ITGA1_ITGB1
Mesenchyme,COL6A1_ITGA1_ITGB1,COLLAGEN,COL6A1,ITGA1_ITGB1
Mesenchyme,COL6A2_ITGA1_ITGB1,COLLAGEN,COL6A2,ITGA1_ITGB1
Mesenchyme,COL6A3_ITGA1_ITGB1,COLLAGEN,COL6A3,ITGA1_ITGB1
Mesenchyme,COL1A1_CD44,COLLAGEN,COL1A1,CD44
Mesenchyme,COL1A2_CD44,COLLAGEN,COL1A2,CD44
Mesenchyme,COL4A1_CD44,COLLAGEN,COL4A1,CD44
Mesenchyme,COL4A2_CD44,COLLAGEN,COL4A2,CD44
Mesenchyme,COL6A1_CD44,COLLAGEN,COL6A1,CD44
Mesenchyme,COL6A2_CD44,COLLAGEN,COL6A2,CD44
Mesenchyme,COL6A3_CD44,COLLAGEN,COL6A3,CD44
Mesenchyme,FN1_CD44,FN1,FN1,CD44
Mesenchyme,LAMA4_ITGA1_ITGB1,LAMININ,LAMA4,ITGA1_ITGB1
Mesenchyme,LAMB2_ITGA1_ITGB1,LAMININ,LAMB2,ITGA1_ITGB1
Mesenchyme,LAMA4_CD44,LAMININ,LAMA4,CD44
Mesenchyme,LAMB2_CD44,LAMININ,LAMB2,CD44
Mesenchyme,MDK_LRP1,MK,MDK,LRP1
Mesenchyme,TNFSF12_TNFRSF12A,TWEAK,TNFSF12,TNFRSF12A
MP,LGALS9_CD44,GALECTIN,LGALS9,CD44
pDC,CD99_CD99,CD99,CD99,CD99
Plasma cell,MDK_LRP1,MK,MDK,LRP1
