source,interaction_name,pathway_name,ligand,receptor
Cholangiocyte,CD46_JAG1,CD46,CD46,JAG1
Cholangiocyte,THBS1_CD47,THBS,THBS1,CD47
Endothelia,CD46_JAG1,CD46,CD46,JAG1
Endothelia,EDN1_EDNRA,EDN,EDN1,EDNRA
Endothelia,GAS6_AXL,GAS,GAS6,AXL
Endothelia,LAMB2_ITGA7_ITGB1,LAMININ,LAMB2,ITGA7_ITGB1
Endothelia,MDK_SDC2,MK,MDK,SDC2
Endothelia,PROS1_AXL,PROS,PROS1,AXL
Hepatocyte,ANGPTL4_SDC2,ANGPTL,ANGPTL4,SDC2
Hepatocyte,CD46_JAG1,CD46,CD46,JAG1
Hepatocyte,ESAM_ESAM,ESAM,ESAM,ESAM
Hepatocyte,GAS6_AXL,GAS,GAS6,AXL
Hepatocyte,LAMB2_ITGA7_ITGB1,LAMININ,LAMB2,ITGA7_ITGB1
Hepatocyte,PROS1_AXL,PROS,PROS1,AXL
Mesenchyme,ANGPTL4_SDC2,ANGPTL,ANGPTL4,SDC2
Mesenchyme,APP_CD74,APP,APP,CD74
Mesenchyme,GAS6_AXL,GAS,GAS6,AXL
Mesenchyme,MDK_SDC2,MK,MDK,SDC2
Mesenchyme,JAG1_NOTCH3,NOTCH,JAG1,NOTCH3
Mesenchyme,NTF3_NTRK2,NT,NTF3,NTRK2
Mesenchyme,PDGFA_PDGFRB,PDGF,PDGFA,PDGFRB
Mesenchyme,PTN_SDC2,PTN,PTN,SDC2
pDC,GAS6_AXL,GAS,GAS6,AXL
Plasma cell,CD46_JAG1,CD46,CD46,JAG1
Plasma cell,GAS6_AXL,GAS,GAS6,AXL
Plasma cell,MDK_SDC2,MK,MDK,SDC2
