"gene","cell_type","condition","pct_expressing","avg_expr","n_cells"
"ITGA1","B cell","cirrhotic",0.990916597853014,0.0114950204006838,1211
"ITGA1","B cell","healthy",0.27063599458728,0.00293689290659477,739
"ITGA1","Cholangiocyte","cirrhotic",5.60985975350616,0.0454578240676774,2353
"ITGA1","Cholangiocyte","healthy",2.63620386643234,0.0328870376233699,1138
"ITGA1","Cycling","cirrhotic",8.79396984924623,0.0821779770230493,398
"ITGA1","Cycling","healthy",2.40963855421687,0.0198031581387415,498
"ITGA1","Endothelia","cirrhotic",24.7840931914039,0.291461996976697,4979
"ITGA1","Endothelia","healthy",26.2771392081737,0.331916767974709,3132
"ITGA1","Hepatocyte","cirrhotic",36.2595419847328,0.212513838337484,262
"ITGA1","Hepatocyte","healthy",73.469387755102,0.453502615749099,49
"ITGA1","ILC","cirrhotic",3.09846224466376,0.0455937100198033,4357
"ITGA1","ILC","healthy",1.43807474075523,0.0219792450750485,10222
"ITGA1","MP","cirrhotic",1.40530894490297,0.0111071693732402,4483
"ITGA1","MP","healthy",1.04361370716511,0.0119600631007704,6420
"ITGA1","Mast cell","cirrhotic",4.3956043956044,0.058143435001661,91
"ITGA1","Mast cell","healthy",4.67289719626168,0.0565903449139978,107
"ITGA1","Mesenchyme","cirrhotic",41.4154652686763,0.536434559663022,763
"ITGA1","Mesenchyme","healthy",23.8778054862843,0.32794060852364,1604
"ITGA1","Plasma cell","cirrhotic",1.67364016736402,0.00840045252691107,478
"ITGA1","Plasma cell","healthy",3.94088669950739,0.0138055669017187,406
"ITGA1","T cell","cirrhotic",4.00827103547002,0.0579138702305047,6287
"ITGA1","T cell","healthy",3.45704596834966,0.0548755659032294,10616
"ITGA1","pDC","cirrhotic",0,0,189
"ITGA1","pDC","healthy",0.699300699300699,0.0090226566152184,143
"ITGA11","B cell","cirrhotic",0.0825763831544178,0.0011810301965561,1211
"ITGA11","B cell","healthy",0.13531799729364,0.0028302060686031,739
"ITGA11","Cholangiocyte","cirrhotic",0.0849978750531237,0.000789114530694569,2353
"ITGA11","Cholangiocyte","healthy",0.263620386643234,0.00427093538692933,1138
"ITGA11","Cycling","cirrhotic",0,0,398
"ITGA11","Cycling","healthy",0.200803212851406,0.00204558693184871,498
"ITGA11","Endothelia","cirrhotic",0.401687085760193,0.00393980774153686,4979
"ITGA11","Endothelia","healthy",0.159642401021711,0.00170035205737746,3132
"ITGA11","Hepatocyte","cirrhotic",0.381679389312977,0.00315520038964095,262
"ITGA11","Hepatocyte","healthy",0,0,49
"ITGA11","ILC","cirrhotic",0.229515721826945,0.00323752802645388,4357
"ITGA11","ILC","healthy",0.0880453922911368,0.00189198937338196,10222
"ITGA11","MP","cirrhotic",0.11153245594468,0.000687697210940819,4483
"ITGA11","MP","healthy",0.14018691588785,0.00130098584505371,6420
"ITGA11","Mast cell","cirrhotic",0,0,91
"ITGA11","Mast cell","healthy",0,0,107
"ITGA11","Mesenchyme","cirrhotic",5.24246395806029,0.0460099383642843,763
"ITGA11","Mesenchyme","healthy",1.49625935162095,0.0180065583097775,1604
"ITGA11","Plasma cell","cirrhotic",0.209205020920502,0.000523777534741256,478
"ITGA11","Plasma cell","healthy",0.246305418719212,0.000919404979340549,406
"ITGA11","T cell","cirrhotic",0.143152536981072,0.0019297115922646,6287
"ITGA11","T cell","healthy",0.0753579502637528,0.00146531247329263,10616
"ITGA11","pDC","cirrhotic",0,0,189
"ITGA11","pDC","healthy",0.699300699300699,0.0125795673368022,143
"ITGA8","B cell","cirrhotic",0,0,1211
"ITGA8","B cell","healthy",0.13531799729364,0.00292340849670621,739
"ITGA8","Cholangiocyte","cirrhotic",0.254993625159371,0.00185311172518228,2353
"ITGA8","Cholangiocyte","healthy",1.49384885764499,0.0145111086760483,1138
"ITGA8","Cycling","cirrhotic",1.75879396984925,0.010950536137837,398
"ITGA8","Cycling","healthy",0.200803212851406,0.0018360944226426,498
"ITGA8","Endothelia","cirrhotic",2.4904599317132,0.0246138848873474,4979
"ITGA8","Endothelia","healthy",1.78799489144317,0.0190730228985163,3132
"ITGA8","Hepatocyte","cirrhotic",0,0,262
"ITGA8","Hepatocyte","healthy",0,0,49
"ITGA8","ILC","cirrhotic",0.0229515721826945,0.000304123313032749,4357
"ITGA8","ILC","healthy",0.0586969281940912,0.0013552081840831,10222
"ITGA8","MP","cirrhotic",0.11153245594468,0.000994365582882164,4483
"ITGA8","MP","healthy",0.14018691588785,0.00118278490236591,6420
"ITGA8","Mast cell","cirrhotic",0,0,91
"ITGA8","Mast cell","healthy",0,0,107
"ITGA8","Mesenchyme","cirrhotic",4.58715596330275,0.0529869330499798,763
"ITGA8","Mesenchyme","healthy",15.0249376558603,0.216019789612815,1604
"ITGA8","Plasma cell","cirrhotic",10.8786610878661,0.0445281421616972,478
"ITGA8","Plasma cell","healthy",22.9064039408867,0.111544718810905,406
"ITGA8","T cell","cirrhotic",0.0318116748846827,0.000359299488885434,6287
"ITGA8","T cell","healthy",0.0565184626978146,0.00104006198043422,10616
"ITGA8","pDC","cirrhotic",0,0,189
"ITGA8","pDC","healthy",0,0,143
"ITGB1","B cell","cirrhotic",19.9834847233691,0.275311673388721,1211
"ITGB1","B cell","healthy",18.809201623816,0.297656449637684,739
"ITGB1","Cholangiocyte","cirrhotic",74.6706332341691,1.17469692679398,2353
"ITGB1","Cholangiocyte","healthy",57.4692442882249,1.06199586803579,1138
"ITGB1","Cycling","cirrhotic",58.7939698492462,0.749151104884024,398
"ITGB1","Cycling","healthy",49.3975903614458,0.592431656040972,498
"ITGB1","Endothelia","cirrhotic",74.4527013456517,1.2244648802061,4979
"ITGB1","Endothelia","healthy",78.7994891443167,1.37330916732329,3132
"ITGB1","Hepatocyte","cirrhotic",74.0458015267176,0.879870567383663,262
"ITGB1","Hepatocyte","healthy",79.5918367346939,0.635358787527184,49
"ITGB1","ILC","cirrhotic",28.3451916456277,0.449667506717119,4357
"ITGB1","ILC","healthy",21.5417726472315,0.361073778984457,10222
"ITGB1","MP","cirrhotic",46.2190497434754,0.506350913216601,4483
"ITGB1","MP","healthy",40.4205607476636,0.496121350843745,6420
"ITGB1","Mast cell","cirrhotic",34.0659340659341,0.465306153429645,91
"ITGB1","Mast cell","healthy",31.7757009345794,0.483925662980173,107
"ITGB1","Mesenchyme","cirrhotic",79.1612057667104,1.31713928735963,763
"ITGB1","Mesenchyme","healthy",74.5635910224439,1.46261533702702,1604
"ITGB1","Plasma cell","cirrhotic",26.5690376569038,0.142515171480177,478
"ITGB1","Plasma cell","healthy",41.871921182266,0.282222958574036,406
"ITGB1","T cell","cirrhotic",29.2667408939081,0.448773523880293,6287
"ITGB1","T cell","healthy",19.3010550113037,0.326213129916944,10616
"ITGB1","pDC","cirrhotic",20.6349206349206,0.192593351646609,189
"ITGB1","pDC","healthy",17.4825174825175,0.173503922190855,143
